,age,best_estimate_liabilities,death_prob,discount_rate,expected_benefit,expected_premium,forward_rate,projection_year,pv_expected_benefit,pv_expected_premium,survival_rate,yearly_forward_rate,yearly_spot_rate,t,r
810,99,476.79372574509404,0.03305366296494672,0.997137482822179,16.696204605523675,0.7071738606556831,0.0028707347052276955,68,486.6028869202919,9.809161175197845,0.004884279815771071,0.034997968781253164,0.02895,810,1
811,99,462.1275430304951,0.03305366296494672,0.997137482822179,16.144333885698902,0.68379917420795,0.0028707347052276955,68,471.2556597359076,9.12811670541256,0.004722836476914082,0.034997968781253164,0.02895,811,1
812,99,447.9492708014657,0.03305366296494672,0.997137482822179,15.610704514647443,0.6611971067679715,0.0028707347052276955,68,456.4178297280691,8.468558926603404,0.004566729431767608,0.034997968781253164,0.02895,812,1
813,99,434.24279084171553,0.03305366296494672,0.997137482822179,15.094713548974916,0.6393421204474651,0.0028707347052276955,68,442.07256552608345,7.829774684367903,0.004415782296277859,0.034997968781253164,0.02895,813,1
814,99,420.9925177269155,0.03305366296494672,0.997137482822179,14.595777974774684,0.6182095214789003,0.0028707347052276955,68,428.2035921151428,7.211074388227284,0.004269824516530112,0.034997968781253164,0.02895,814,1
815,99,408.18338121404594,0.03305366296494672,0.997137482822179,14.11333404888529,0.5977754323142157,0.0028707347052276955,68,414.7951724467742,6.611791232728235,0.004128691176041259,0.034997968781253164,0.02895,815,1
816,100,395.80080921284207,0.034896520365574446,0.997137482822179,14.40769557078913,0.5780167646457762,0.0028707347052276955,68,401.83208965713214,6.031280444290055,0.003984614220333368,0.034997968781253164,0.02895,816,1
817,100,383.06766818715226,0.034896520365574446,0.9971787083090613,13.904917128882092,0.5578459908466715,0.0028292738978781262,69,388.53658674009847,5.468918552946192,0.003845565049044547,0.03448461733267738,0.02903,817,1
818,100,370.7666378838558,0.034896520365574446,0.9971787083090613,13.419683905112434,0.5383791068662366,0.0028292738978781262,69,375.6916052153659,4.924967331510055,0.003711368209993423,0.03448461733267738,0.02903,818,1
819,100,358.8978887169422,0.034896520365574446,0.9971787083090613,12.951383632418107,0.5195915493990793,0.0028292738978781262,69,363.2968878011507,4.398999084208542,0.003581854373669242,0.03448461733267738,0.02903,819,1
820,100,347.4463441176292,0.034896520365574446,0.9971787083090613,12.499425409727062,0.5014596123136938,0.0028292738978781262,69,351.33672755891615,3.8903834412869314,0.003456860119571971,0.03448461733267738,0.02903,820,1
821,100,336.3974536610828,0.034896520365574446,0.9971787083090613,12.063238956358541,0.48396041674007595,0.0028292738978781262,69,339.79596568378724,3.398512022704449,0.003336227730008386,0.03448461733267738,0.02903,821,1
822,100,325.7371747058919,0.034896520365574446,0.9971787083090613,11.642273892443185,0.467071882201174,0.0028292738978781262,69,328.6599723766391,2.9227976707471472,0.003219804991083954,0.03448461733267738,0.02903,822,1
823,100,315.45195467426277,0.034896520365574446,0.9971787083090613,11.235999044453946,0.4507726987517536,0.0028292738978781262,69,317.9146283836826,2.4626737094198528,0.0031074450006394146,0.03448461733267738,0.02903,823,1
824,100,305.5287139505725,0.034896520365574446,0.9971787083090613,10.843901774971584,0.43504230008951805,0.0028292738978781262,69,307.5463071802552,2.017593229682697,0.002999005982889699,0.03448461733267738,0.02903,824,1
825,100,295.9548293767041,0.034896520365574446,0.9971787083090613,10.465487335838999,0.41986083760455783,0.0028292738978781262,69,297.54185777633444,1.5870283996303398,0.002894351109531309,0.03448461733267738,0.02903,825,1
826,100,286.7181183233369,0.034896520365574446,0.9971787083090613,10.100278243888232,0.40520915533438323,0.0028292738978781262,69,287.88858812208036,1.1704697987434716,0.0027933483270924267,0.03448461733267738,0.02903,826,1
827,100,277.80682331709363,0.034896520365574446,0.9971787083090613,9.747813678452419,0.39106876579293975,0.0028292738978781262,69,278.5742490924662,0.7674257753725591,0.0026958701903079026,0.03448461733267738,0.02903,827,1
828,101,269.20959720414714,1.0,0.9971787083090613,269.58701903079026,0.37742182664310636,0.0028292738978781262,69,269.58701903079026,0.37742182664310636,0.0,0.03448461733267738,0.02903,828,1
829,101,0.0,1.0,0.9972223469260746,0.0,0.0,0.002785389920801018,70,0.0,0.0,0.0,0.03394151741633222,0.0291,829,1
830,101,0.0,1.0,0.9972223469260746,0.0,0.0,0.002785389920801018,70,0.0,0.0,0.0,0.03394151741633222,0.0291,830,1
831,101,0.0,1.0,0.9972223469260746,0.0,0.0,0.002785389920801018,70,0.0,0.0,0.0,0.03394151741633222,0.0291,831,1
832,101,0.0,1.0,0.9972223469260746,0.0,0.0,0.002785389920801018,70,0.0,0.0,0.0,0.03394151741633222,0.0291,832,1
833,101,0.0,1.0,0.9972223469260746,0.0,0.0,0.002785389920801018,70,0.0,0.0,0.0,0.03394151741633222,0.0291,833,1
834,101,0.0,1.0,0.9972223469260746,0.0,0.0,0.002785389920801018,70,0.0,0.0,0.0,0.03394151741633222,0.0291,834,1
835,101,0.0,1.0,0.9972223469260746,0.0,0.0,0.002785389920801018,70,0.0,0.0,0.0,0.03394151741633222,0.0291,835,1
836,101,0.0,1.0,0.9972223469260746,0.0,0.0,0.002785389920801018,70,0.0,0.0,0.0,0.03394151741633222,0.0291,836,1
837,101,0.0,1.0,0.9972223469260746,0.0,0.0,0.002785389920801018,70,0.0,0.0,0.0,0.03394151741633222,0.0291,837,1
838,101,0.0,1.0,0.9972223469260746,0.0,0.0,0.002785389920801018,70,0.0,0.0,0.0,0.03394151741633222,0.0291,838,1
839,101,0.0,1.0,0.9972223469260746,0.0,0.0,0.002785389920801018,70,0.0,0.0,0.0,0.03394151741633222,0.0291,839,1
840,102,0.0,1.0,0.9972223469260746,0.0,0.0,0.002785389920801018,70,0.0,0.0,0.0,0.03394151741633222,0.0291,840,1
841,102,0.0,1.0,0.9971537411962571,0.0,0.0,0.002854383116818404,71,0.0,0.0,0.0,0.03479548194879034,0.02918,841,1
842,102,0.0,1.0,0.9971537411962571,0.0,0.0,0.002854383116818404,71,0.0,0.0,0.0,0.03479548194879034,0.02918,842,1
843,102,0.0,1.0,0.9971537411962571,0.0,0.0,0.002854383116818404,71,0.0,0.0,0.0,0.03479548194879034,0.02918,843,1
844,102,0.0,1.0,0.9971537411962571,0.0,0.0,0.002854383116818404,71,0.0,0.0,0.0,0.03479548194879034,0.02918,844,1
845,102,0.0,1.0,0.9971537411962571,0.0,0.0,0.002854383116818404,71,0.0,0.0,0.0,0.03479548194879034,0.02918,845,1
846,102,0.0,1.0,0.9971537411962571,0.0,0.0,0.002854383116818404,71,0.0,0.0,0.0,0.03479548194879034,0.02918,846,1
847,102,0.0,1.0,0.9971537411962571,0.0,0.0,0.002854383116818404,71,0.0,0.0,0.0,0.03479548194879034,0.02918,847,1
848,102,0.0,1.0,0.9971537411962571,0.0,0.0,0.002854383116818404,71,0.0,0.0,0.0,0.03479548194879034,0.02918,848,1
849,102,0.0,1.0,0.9971537411962571,0.0,0.0,0.002854383116818404,71,0.0,0.0,0.0,0.03479548194879034,0.02918,849,1
850,102,0.0,1.0,0.9971537411962571,0.0,0.0,0.002854383116818404,71,0.0,0.0,0.0,0.03479548194879034,0.02918,850,1
851,102,0.0,1.0,0.9971537411962571,0.0,0.0,0.002854383116818404,71,0.0,0.0,0.0,0.03479548194879034,0.02918,851,1
852,103,0.0,1.0,0.9971537411962571,0.0,0.0,0.002854383116818404,71,0.0,0.0,0.0,0.03479548194879034,0.02918,852,1
853,103,0.0,1.0,0.9971989881174854,0.0,0.0,0.0028088795876159978,72,0.0,0.0,0.0,0.03423218863548283,0.02925,853,1
854,103,0.0,1.0,0.9971989881174854,0.0,0.0,0.0028088795876159978,72,0.0,0.0,0.0,0.03423218863548283,0.02925,854,1
855,103,0.0,1.0,0.9971989881174854,0.0,0.0,0.0028088795876159978,72,0.0,0.0,0.0,0.03423218863548283,0.02925,855,1
856,103,0.0,1.0,0.9971989881174854,0.0,0.0,0.0028088795876159978,72,0.0,0.0,0.0,0.03423218863548283,0.02925,856,1
857,103,0.0,1.0,0.9971989881174854,0.0,0.0,0.0028088795876159978,72,0.0,0.0,0.0,0.03423218863548283,0.02925,857,1
858,103,0.0,1.0,0.9971989881174854,0.0,0.0,0.0028088795876159978,72,0.0,0.0,0.0,0.03423218863548283,0.02925,858,1
859,103,0.0,1.0,0.9971989881174854,0.0,0.0,0.0028088795876159978,72,0.0,0.0,0.0,0.03423218863548283,0.02925,859,1
860,103,0.0,1.0,0.9971989881174854,0.0,0.0,0.0028088795876159978,72,0.0,0.0,0.0,0.03423218863548283,0.02925,860,1
861,103,0.0,1.0,0.9971989881174854,0.0,0.0,0.0028088795876159978,72,0.0,0.0,0.0,0.03423218863548283,0.02925,861,1
862,103,0.0,1.0,0.9971989881174854,0.0,0.0,0.0028088795876159978,72,0.0,0.0,0.0,0.03423218863548283,0.02925,862,1
